labels,total_transitions,horizontal_transitions,vertical_transitions,total_transitions_left,horizontal_transitions_left,vertical_transitions_left,total_transitions_right,horizontal_transitions_right,vertical_transitions_right,total_transitions_top,horizontal_transitions_top,vertical_transitions_top,total_transitions_bottom,horizontal_transitions_bottom,vertical_transitions_bottom
0,100,44,56,50,22,28,50,22,28,58,30,28,42,14,28
4,126,48,78,60,22,38,65,26,39,65,27,38,61,21,40
1,120,24,96,49,12,37,60,12,48,54,14,40,66,10,56
1,78,22,56,38,10,28,40,12,28,41,13,28,37,9,28
1,106,20,86,38,10,28,53,10,43,42,12,30,64,8,56
0,104,46,58,50,22,28,54,24,30,58,28,30,46,18,28
3,88,30,58,45,16,29,43,14,29,44,14,30,44,16,28
2,122,44,78,62,22,40,60,22,38,54,22,32,68,22,46
2,122,48,74,61,22,39,61,26,35,61,25,36,61,23,38
4,116,54,62,56,26,30,60,28,32,55,23,32,60,30,30
0,112,40,72,56,20,36,56,20,36,66,22,44,45,17,28
2,126,40,86,54,18,36,72,22,50,50,20,30,76,20,56
1,84,24,60,38,10,28,44,14,30,41,13,28,43,11,32
0,202,106,96,74,36,38,127,70,57,130,76,54,71,29,42
1,114,22,92,45,10,35,58,12,46,49,13,36,64,8,56
4,104,48,56,52,24,28,52,24,28,54,26,28,44,16,28
1,118,26,92,50,10,40,62,16,46,48,12,36,70,14,56
4,106,48,58,49,22,27,57,26,31,53,23,30,52,24,28
1,108,20,88,36,8,28,61,12,49,45,13,32,63,7,56
4,144,72,72,65,32,33,79,40,39,71,33,38,73,39,34
3,112,40,72,56,20,36,56,20,36,74,30,44,38,10,28
2,354,174,180,177,90,87,177,84,93,196,108,88,157,65,92
1,114,24,90,44,10,34,59,14,45,46,12,34,68,12,56
0,110,52,58,55,26,29,55,26,29,62,32,30,48,20,28
4,118,62,56,58,30,28,60,32,28,67,39,28,51,23,28
3,108,42,66,54,22,32,54,20,34,58,20,38,49,21,28
4,98,40,58,49,20,29,49,20,29,51,21,30,47,19,28
0,106,50,56,52,24,28,54,26,28,62,34,28,44,16,28
1,118,22,96,38,10,28,60,12,48,54,14,40,64,8,56
4,380,158,222,189,78,111,183,80,103,172,74,98,202,78,124
2,126,38,88,61,18,43,64,20,44,63,19,44,57,13,44
2,128,42,86,44,18,26,84,24,60,55,21,34,70,18,52
3,90,34,56,46,18,28,44,16,28,49,21,28,41,13,28
2,174,48,126,86,24,62,88,24,64,71,23,48,103,25,78
4,110,52,58,55,26,29,55,26,29,53,23,30,56,28,28
1,120,22,98,38,10,28,61,12,49,56,14,42,64,8,56
1,82,26,56,40,12,28,42,14,28,40,12,28,42,14,28
1,120,26,94,60,14,46,59,12,47,53,15,38,67,11,56
4,254,98,156,122,42,80,131,56,75,156,64,92,97,33,64
2,116,44,72,58,22,36,58,22,36,49,21,28,66,22,44
0,182,82,100,93,42,51,87,40,47,120,56,64,61,25,36
3,122,46,76,61,22,39,61,24,37,67,21,46,53,23,30
4,114,58,56,56,28,28,58,30,28,51,23,28,63,35,28
2,148,60,88,74,26,48,74,34,40,65,33,32,82,26,56
4,106,44,62,55,22,33,51,22,29,48,20,28,57,23,34
3,88,30,58,45,16,29,43,14,29,51,21,30,36,8,28
3,100,34,66,49,16,33,51,18,33,53,15,38,47,19,28
3,166,52,114,75,24,51,86,28,58,93,25,68,73,27,46
4,104,48,56,52,24,28,52,24,28,60,32,28,44,16,28
0,112,54,58,54,24,30,58,30,28,61,33,28,50,20,30
0,100,44,56,50,22,28,50,22,28,58,30,28,42,14,28
3,92,36,56,46,18,28,46,18,28,50,22,28,42,14,28
3,90,34,56,44,16,28,46,18,28,45,17,28,45,17,28
1,118,26,92,60,14,46,56,12,44,50,14,36,68,12,56
1,122,28,94,54,14,40,61,14,47,54,16,38,68,12,56
4,108,40,68,57,20,37,51,20,31,48,20,28,60,20,40
4,108,48,60,54,24,30,54,24,30,64,32,32,44,16,28
1,114,22,92,38,10,28,58,12,46,50,14,36,64,8,56
2,114,40,74,55,18,37,59,22,37,47,19,28,67,21,46
4,100,42,58,49,20,29,51,22,29,49,21,28,51,21,30
0,102,46,56,52,24,28,50,22,28,59,31,28,43,15,28
2,160,44,116,83,20,63,77,24,53,64,20,44,95,23,72
0,104,46,58,51,22,29,53,24,29,62,32,30,42,14,28
1,114,22,92,56,10,46,58,12,46,48,12,36,65,9,56
4,126,56,70,63,28,35,63,28,35,72,30,42,54,26,28
2,116,42,74,59,20,39,57,22,35,48,20,28,68,22,46
2,126,54,72,64,26,38,62,28,34,63,29,34,63,25,38
1,116,28,88,43,12,31,65,16,49,48,12,36,67,15,52
2,114,48,66,53,22,31,61,26,35,50,22,28,64,26,38
4,94,34,60,45,16,29,48,18,30,49,17,32,45,17,28
1,118,24,94,47,12,35,59,12,47,52,14,38,66,10,56
4,124,54,70,61,26,35,63,28,35,65,27,38,58,26,32
3,150,48,102,74,22,52,75,26,49,54,20,34,91,23,68
4,108,44,64,54,22,32,54,22,32,51,21,30,56,22,34
2,132,66,66,69,34,35,63,32,31,54,24,30,78,42,36
4,94,38,56,48,20,28,46,18,28,45,17,28,49,21,28
0,110,44,66,54,22,32,56,22,34,56,26,30,54,18,36
1,120,24,96,60,12,48,60,12,48,53,13,40,67,11,56
3,98,40,58,49,20,29,49,20,29,52,22,30,46,18,28
2,218,80,138,100,40,60,115,40,75,100,48,52,117,31,86
2,118,44,74,58,22,36,59,22,37,49,21,28,68,22,46
1,118,26,92,49,12,37,60,14,46,49,13,36,69,13,56
0,104,48,56,52,24,28,52,24,28,60,32,28,44,16,28
4,96,38,58,47,18,29,49,20,29,48,18,30,47,19,28
0,114,56,58,62,32,30,51,24,27,66,36,30,48,20,28
0,92,32,60,46,16,30,46,16,30,48,16,32,44,16,28
2,306,178,128,155,94,61,150,84,66,142,74,68,162,102,60
0,126,52,74,61,26,35,63,26,37,81,35,46,45,17,28
2,138,46,92,70,24,46,68,22,46,50,22,28,88,24,64
0,108,52,56,52,24,28,56,28,28,63,35,28,45,17,28
2,112,38,74,59,18,41,53,20,33,46,18,28,65,19,46
2,120,40,80,58,20,38,62,20,42,50,20,30,70,20,50
1,118,22,96,49,10,39,60,12,48,53,13,40,64,8,56
4,100,40,60,50,20,30,50,20,30,47,19,28,52,20,32
4,114,52,62,54,24,30,59,28,31,68,34,34,45,17,28
0,94,34,60,46,16,30,48,18,30,47,15,32,47,19,28
0,160,82,78,80,40,40,79,42,37,106,60,46,54,22,32
4,110,46,64,53,22,31,56,24,32,63,29,34,46,16,30
3,104,44,60,49,20,29,55,24,31,53,21,32,50,22,28
1,118,26,92,43,12,31,60,14,46,48,12,36,69,13,56
2,128,46,82,63,22,41,65,24,41,50,20,30,78,26,52
0,118,58,60,63,32,31,55,26,29,69,37,32,49,21,28
1,122,28,94,63,16,47,56,12,44,54,16,38,67,11,56
1,114,24,90,51,10,41,59,14,45,46,12,34,67,11,56
3,88,22,66,43,10,33,45,12,33,48,10,38,40,12,28
4,104,46,58,51,22,29,53,24,29,57,27,30,46,18,28
4,104,40,64,52,20,32,52,20,32,47,19,28,56,20,36
4,120,44,76,67,22,45,53,22,31,48,20,28,70,22,48
1,78,22,56,38,10,28,40,12,28,42,14,28,36,8,28
2,250,112,138,126,58,68,118,54,64,152,82,70,98,30,68
4,114,48,66,58,24,34,55,24,31,73,35,38,41,13,28
2,170,72,98,86,34,52,83,38,45,106,50,56,63,21,42
1,102,24,78,50,12,38,51,12,39,42,12,30,60,12,48
4,158,54,104,88,28,60,69,26,43,65,25,40,92,28,64
4,98,38,60,48,18,30,50,20,30,47,19,28,51,19,32
1,116,26,90,54,14,40,56,12,44,48,14,34,68,12,56
4,130,38,92,66,18,48,64,20,44,47,19,28,83,19,64
1,122,22,100,47,10,37,62,12,50,58,14,44,64,8,56
4,182,76,106,87,36,51,93,40,53,71,31,40,109,43,66
2,114,48,66,59,24,35,55,24,31,54,24,30,60,24,36
2,128,56,72,63,28,35,65,28,37,54,24,30,72,30,42
3,90,34,56,44,16,28,46,18,28,45,17,28,45,17,28
1,108,24,84,41,12,29,54,12,42,42,14,28,65,9,56
3,186,70,116,91,38,53,95,32,63,97,43,54,87,25,62
3,86,28,58,43,14,29,43,14,29,40,10,30,46,18,28
3,94,36,58,46,18,28,47,18,29,53,23,30,40,12,28
3,192,92,100,86,42,44,104,50,54,100,48,52,92,44,48
2,128,50,78,58,22,36,68,28,40,57,23,34,68,24,44
3,102,38,64,50,18,32,52,20,32,57,21,36,43,15,28
4,128,46,82,64,22,42,64,24,40,48,20,28,79,25,54
3,96,34,62,49,18,31,47,16,31,54,20,34,42,14,28
3,114,44,70,54,20,34,58,24,34,62,22,40,51,21,30
2,108,48,60,55,24,31,53,24,29,51,23,28,57,25,32
4,126,54,72,60,26,34,64,28,36,72,34,38,52,18,34
4,118,44,74,61,22,39,56,22,34,47,19,28,71,25,46
0,108,50,58,53,24,29,55,26,29,62,32,30,46,18,28
3,146,38,108,74,18,56,72,20,52,60,18,42,83,17,66
2,98,38,60,44,18,26,54,20,34,46,18,28,52,20,32
1,114,22,92,51,10,41,58,12,46,48,12,36,66,10,56
3,78,22,56,38,10,28,40,12,28,38,10,28,40,12,28
4,102,40,62,50,20,30,52,20,32,47,19,28,55,21,34
2,134,46,88,64,24,40,70,22,48,49,21,28,85,25,60
1,118,22,96,42,10,32,60,12,48,54,14,40,64,8,56
0,108,50,58,55,26,29,53,24,29,61,31,30,46,18,28
2,138,54,84,67,26,41,71,28,43,72,32,40,65,21,44
4,156,62,94,87,36,51,66,26,40,82,32,50,73,29,44
3,116,42,74,54,18,36,62,24,38,73,27,46,43,15,28
4,142,56,86,71,28,43,69,28,41,52,22,30,89,33,56
2,172,64,108,81,28,53,91,36,55,67,35,32,105,29,76
2,130,50,80,63,24,39,67,26,41,50,22,28,80,28,52
4,98,44,54,49,22,27,49,22,27,49,21,28,49,23,26
1,116,22,94,39,10,29,59,12,47,50,12,38,66,10,56
2,100,40,60,49,20,29,51,20,31,48,20,28,52,20,32
2,94,36,58,47,18,29,47,18,29,46,18,28,48,18,30
1,100,42,58,52,22,30,48,20,28,48,20,28,52,22,30
4,154,58,96,80,30,50,74,28,46,55,23,32,97,33,64
4,134,68,66,67,34,33,67,34,33,53,23,30,81,45,36
3,134,54,80,67,28,39,60,26,34,72,32,40,58,18,40
2,110,40,70,55,20,35,55,20,35,46,20,26,64,20,44
2,136,46,90,68,22,46,68,24,44,61,23,38,75,23,52
3,108,38,70,52,18,34,55,20,35,64,22,42,44,16,28
3,92,36,56,46,18,28,46,18,28,49,21,28,42,14,28
3,130,42,88,67,22,45,62,20,42,64,20,44,65,21,44
2,130,44,86,68,22,46,62,22,40,46,18,28,84,26,58
4,118,60,58,59,30,29,58,30,28,53,27,26,64,32,32
4,108,44,64,51,20,31,56,24,32,51,23,28,57,21,36
3,82,24,58,40,12,28,41,12,29,39,9,30,42,14,28
0,104,46,58,50,22,28,53,24,29,62,32,30,42,14,28
0,100,42,58,51,22,29,49,20,29,58,28,30,42,14,28
4,120,42,78,59,20,39,61,22,39,49,21,28,71,21,50
4,98,42,56,47,20,27,50,22,28,51,23,28,41,13,28
1,122,28,94,50,14,36,61,14,47,53,15,38,69,13,56
1,102,32,70,50,16,34,47,16,31,41,13,28,61,19,42
4,100,42,58,49,20,29,51,22,29,55,25,30,45,17,28
1,110,26,84,55,16,39,51,10,41,41,11,30,68,14,54
1,100,24,76,52,14,38,38,10,28,40,12,28,59,11,48
1,116,24,92,42,12,30,58,12,46,50,14,36,66,10,56
2,132,48,84,70,24,46,62,24,38,50,22,28,82,26,56
2,120,40,80,60,20,40,60,20,40,48,20,28,72,20,52
4,156,46,110,77,22,55,79,24,55,50,20,30,106,26,80
0,142,76,66,67,36,31,75,40,35,99,61,38,43,15,28
4,100,40,60,50,20,30,50,20,30,46,20,26,54,20,34
4,92,30,62,42,14,28,48,16,32,41,13,28,51,17,34
4,130,44,86,64,22,42,66,22,44,48,20,28,81,23,58
0,116,56,60,55,26,29,61,30,31,60,30,30,51,21,30
2,178,62,116,91,34,57,84,28,56,86,32,54,92,30,62
0,158,72,86,63,26,37,95,46,49,82,36,46,75,35,40
3,142,48,94,71,24,47,71,24,47,95,29,66,46,18,28
0,190,100,90,78,40,38,111,60,51,144,84,60,44,14,30
1,120,28,92,60,14,46,53,14,39,51,15,36,69,13,56
3,98,42,56,48,20,28,50,22,28,53,25,28,45,17,28
3,88,30,58,45,16,29,43,14,29,47,17,30,41,13,28
4,114,44,70,53,20,33,61,24,37,53,21,32,60,22,38
1,118,24,94,48,12,36,59,12,47,51,13,38,67,11,56
1,78,22,56,38,10,28,40,12,28,40,12,28,38,10,28
1,88,26,62,40,12,28,45,14,31,42,14,28,45,11,34
0,102,46,56,50,22,28,52,24,28,57,29,28,45,17,28
2,128,52,76,66,28,38,60,24,36,72,30,42,56,22,34
2,132,48,84,64,22,42,68,26,42,54,24,30,78,24,54
4,110,42,68,54,20,34,56,22,34,48,20,28,62,22,40
2,124,60,64,68,32,36,56,28,28,54,26,28,70,34,36
1,102,20,82,40,10,30,51,10,41,40,12,28,62,8,54
3,118,46,72,55,22,33,62,24,38,66,28,38,52,18,34
3,84,28,56,37,10,27,47,18,29,45,17,28,39,11,28
4,116,52,64,52,24,28,64,28,36,61,29,32,49,17,32
1,100,20,80,50,10,40,48,10,38,38,10,28,61,9,52
4,114,50,64,56,24,32,58,26,32,48,20,28,66,30,36
0,102,46,56,52,24,28,50,22,28,59,31,28,43,15,28
2,138,40,98,64,18,46,74,22,52,47,19,28,90,20,70
4,100,44,56,50,22,28,50,22,28,49,21,28,51,23,28
3,98,36,62,49,18,31,48,18,30,51,21,30,47,15,32
4,106,42,64,53,20,33,53,22,31,49,21,28,57,21,36
0,102,44,58,48,20,28,54,24,30,56,26,30,46,18,28
0,102,46,56,50,22,28,52,24,28,57,29,28,45,17,28
0,98,42,56,48,20,28,50,22,28,54,26,28,43,15,28
3,90,34,56,44,16,28,46,18,28,45,17,28,45,17,28
0,140,66,74,64,32,32,76,34,42,85,45,40,55,21,34
3,82,22,60,40,12,28,40,10,30,39,9,30,43,13,30
2,116,44,72,55,22,33,61,22,39,49,21,28,66,22,44
4,120,58,62,60,28,32,60,30,30,57,25,32,63,33,30
1,114,26,88,56,14,42,50,12,38,47,15,32,67,11,56
2,100,40,60,50,20,30,50,20,30,47,19,28,52,20,32
2,140,44,96,74,22,52,66,22,44,49,21,28,91,23,68
1,122,26,96,59,12,47,61,14,47,54,16,38,68,10,58
0,92,34,58,42,14,28,49,20,29,46,16,30,46,18,28
4,108,40,68,54,20,34,54,20,34,48,20,28,60,20,40
2,158,62,96,82,32,50,76,30,46,56,26,30,100,34,66
3,104,46,58,52,22,30,52,24,28,62,32,30,41,13,28
0,104,46,58,49,22,27,55,24,31,57,27,30,47,19,28
3,88,28,60,40,12,28,48,16,32,41,11,30,46,16,30
3,82,22,60,40,10,30,42,12,30,43,11,32,39,11,28
3,118,52,66,54,22,32,64,30,34,56,22,34,60,28,32
3,90,32,58,45,16,29,45,16,29,46,18,28,44,14,30
0,118,54,64,59,28,31,59,26,33,77,41,36,41,13,28
3,94,30,64,47,14,33,47,16,31,53,19,34,39,9,30
3,136,62,74,67,32,35,69,30,39,91,45,46,44,16,28
2,114,44,70,58,22,36,56,22,34,48,18,30,66,26,40
4,118,46,72,54,24,30,64,22,42,53,21,32,65,25,40
0,112,52,60,52,24,28,59,28,31,63,31,32,49,21,28
3,108,32,76,55,16,39,53,16,37,66,20,46,42,12,30
1,118,28,90,60,14,46,57,14,43,52,18,34,66,10,56
4,100,44,56,50,22,28,50,22,28,48,20,28,52,24,28
0,96,40,56,48,20,28,48,20,28,56,28,28,40,12,28
2,106,40,66,53,20,33,53,20,33,52,20,32,54,20,34
3,100,42,58,50,20,30,50,22,28,50,20,30,43,15,28
1,112,24,88,40,12,28,56,12,44,47,15,32,65,9,56
0,96,42,54,47,20,27,49,22,27,55,29,26,41,13,28
3,100,40,60,51,20,31,49,20,29,45,17,28,55,23,32
1,120,26,94,45,12,33,63,14,49,52,14,38,68,12,56
3,118,42,76,60,20,40,58,22,36,75,27,48,43,15,28
4,96,28,68,46,12,34,49,16,33,43,15,28,53,13,40
1,114,22,92,48,10,38,58,12,46,49,13,36,65,9,56
1,118,26,92,44,12,32,60,14,46,49,13,36,68,12,56
2,152,52,100,77,26,51,75,26,49,67,25,42,83,25,58
0,112,56,56,55,28,27,57,28,29,63,33,30,48,22,26
1,116,22,94,43,10,33,59,12,47,52,14,38,64,8,56
0,106,48,58,52,24,28,53,24,29,64,34,30,42,14,28
2,116,38,78,57,18,39,59,20,39,45,19,26,71,19,52
2,172,56,116,79,26,53,93,30,63,73,35,38,99,21,78
0,130,52,78,61,24,37,68,28,40,82,34,48,48,18,30
0,106,48,58,53,24,29,53,24,29,64,34,30,42,14,28
4,112,44,68,58,22,36,54,22,32,48,20,28,64,24,40
4,114,44,70,57,22,35,56,22,34,54,20,34,60,24,36
4,156,58,98,73,28,45,83,30,53,68,26,42,87,31,56
3,80,22,58,39,10,29,40,12,28,42,12,30,38,10,28
3,98,42,56,50,22,28,48,20,28,46,18,28,52,24,28
2,148,42,106,74,20,54,74,22,52,59,21,38,89,21,68
4,104,40,64,50,20,30,54,20,34,51,19,32,52,20,32
4,108,50,58,53,24,29,55,26,29,53,23,30,54,26,28
4,124,56,68,56,26,30,68,30,38,62,26,36,62,30,32
2,114,40,74,53,18,35,61,22,39,53,21,32,60,18,42
0,178,96,82,76,42,34,100,54,46,114,64,50,63,31,32
3,98,42,56,48,20,28,50,22,28,50,22,28,48,20,28
1,106,22,84,46,10,36,54,12,42,40,12,28,65,9,56
1,126,28,98,49,10,39,67,18,49,57,15,42,68,12,56
4,120,56,64,61,28,33,59,28,31,51,23,28,69,33,36
4,138,44,94,69,22,47,69,22,47,49,21,28,88,22,66
3,108,40,68,56,20,36,52,20,32,60,20,40,48,20,28
1,112,24,88,52,12,40,56,12,44,46,14,32,65,9,56
4,108,52,56,50,22,28,58,30,28,57,29,28,47,19,28
4,124,58,66,59,28,31,64,30,34,64,30,34,60,28,32
2,166,50,116,86,26,60,79,24,55,63,25,38,102,24,78
2,102,40,62,52,20,32,50,20,30,48,20,28,54,20,34
4,102,40,62,48,18,30,53,22,31,50,20,30,52,20,32
4,108,52,56,52,24,28,56,28,28,64,36,28,43,15,28
1,110,18,92,36,8,28,56,10,46,47,11,36,63,7,56
0,252,128,124,110,52,58,140,76,64,184,96,88,63,27,36
1,110,22,88,39,10,29,56,12,44,46,14,32,64,8,56
0,100,42,58,49,20,29,51,22,29,59,29,30,41,13,28
3,92,36,56,47,18,29,45,18,27,48,20,28,44,16,28
2,164,52,112,79,26,53,85,26,59,65,25,40,98,26,72
2,126,48,78,62,22,40,63,26,37,55,23,32,71,25,46
3,90,34,56,44,16,28,46,18,28,49,21,28,39,11,28
0,106,50,56,52,24,28,54,26,28,61,33,28,45,17,28
4,362,182,180,176,86,90,182,96,86,155,73,82,200,102,98
3,74,16,58,37,8,29,36,8,28,37,7,30,37,9,28
4,124,44,80,68,22,46,56,22,34,48,20,28,74,22,52
1,124,44,80,67,24,43,50,20,30,63,25,38,61,19,42
2,106,40,66,53,20,33,53,20,33,46,18,28,60,22,38
0,110,52,58,55,26,29,54,26,28,66,36,30,44,16,28
2,136,46,90,67,22,45,68,24,44,53,21,32,83,25,58
2,154,64,90,80,34,46,73,30,43,70,32,38,84,32,52
3,96,38,58,47,18,29,49,20,29,51,21,30,44,16,28
3,88,30,58,45,16,29,43,14,29,46,16,30,42,14,28
1,118,26,92,43,12,31,64,14,50,49,13,36,69,13,56
4,192,82,110,104,44,60,87,38,49,77,35,42,115,47,68
2,138,64,74,73,34,39,64,30,34,59,27,32,77,35,42
1,82,22,60,39,10,29,42,12,30,43,11,32,39,11,28
0,124,60,64,64,32,32,58,28,30,76,40,36,48,20,28
0,122,56,66,59,26,33,63,30,33,77,39,38,45,17,28
4,120,42,78,60,20,40,60,22,38,52,22,30,68,20,48
3,88,24,64,43,12,31,44,12,32,47,11,36,41,13,28
4,152,44,108,76,22,54,76,22,54,48,20,28,104,24,80
4,112,52,60,55,26,29,57,26,31,66,34,32,45,17,28
3,218,90,128,92,38,54,114,52,62,84,30,54,132,58,74
4,100,42,58,50,20,30,50,22,28,57,29,28,43,13,30
4,348,188,160,178,96,82,169,92,77,184,104,80,159,79,80
4,112,44,68,52,20,32,60,24,36,48,20,28,64,24,40
2,144,60,84,55,24,31,89,36,53,64,28,36,79,31,48
2,130,48,82,67,22,45,63,26,37,51,21,30,79,27,52
2,122,44,78,61,22,39,61,22,39,46,20,26,76,24,52
3,90,30,60,43,14,29,47,16,31,43,13,30,45,15,30
3,112,38,74,54,18,36,58,20,38,65,19,46,47,19,28
3,92,30,62,44,14,30,47,16,31,49,15,34,43,15,28
3,92,28,64,37,10,27,54,18,36,51,15,36,41,13,28
4,102,40,62,50,20,30,52,20,32,47,19,28,54,20,34
3,90,32,58,43,14,29,47,18,29,48,18,30,42,14,28
1,84,24,60,39,10,29,44,14,30,39,11,28,45,13,32
2,106,40,66,51,18,33,55,22,33,46,18,28,60,22,38
4,114,62,52,56,30,26,58,32,26,56,30,26,52,26,26
4,192,74,118,110,42,68,82,32,50,102,48,54,90,26,64
2,146,48,98,75,24,51,70,24,46,66,22,44,79,25,54
4,102,46,56,50,22,28,52,24,28,53,25,28,43,15,28
